filename, language, C++, JavaScript, CSS, HTML, JSON, comment, blank, total
d:\Dev\Projects\Web\CSS\censor.cpp, C++, 67, 0, 0, 0, 0, 0, 17, 84
d:\Dev\Projects\Web\CSS\codeMirrorConfig.js, JavaScript, 0, 52, 0, 0, 0, 0, 8, 60
d:\Dev\Projects\Web\CSS\engine.js, JavaScript, 0, 65, 0, 0, 0, 0, 7, 72
d:\Dev\Projects\Web\CSS\footer.css, CSS, 0, 0, 56, 0, 0, 0, 13, 69
d:\Dev\Projects\Web\CSS\index.html, HTML, 0, 0, 0, 251, 0, 5, 14, 270
d:\Dev\Projects\Web\CSS\level.js, JavaScript, 0, 374, 0, 0, 0, 3, 75, 452
d:\Dev\Projects\Web\CSS\levels\easy\0.css, CSS, 0, 0, 56, 0, 0, 0, 11, 67
d:\Dev\Projects\Web\CSS\levels\easy\0.html, HTML, 0, 0, 0, 15, 0, 0, 8, 23
d:\Dev\Projects\Web\CSS\levels\global\0.css, CSS, 0, 0, 52, 0, 0, 0, 10, 62
d:\Dev\Projects\Web\CSS\levels\global\0.html, HTML, 0, 0, 0, 15, 0, 0, 8, 23
d:\Dev\Projects\Web\CSS\levels\global\0.json, JSON, 0, 0, 0, 0, 3, 0, 1, 4
d:\Dev\Projects\Web\CSS\levels\global\0h.css, CSS, 0, 0, 3, 0, 0, 0, 1, 4
d:\Dev\Projects\Web\CSS\levels\global\0h.html, HTML, 0, 0, 0, 6, 0, 0, 1, 7
d:\Dev\Projects\Web\CSS\levels\global\1.css, CSS, 0, 0, 82, 0, 0, 0, 13, 95
d:\Dev\Projects\Web\CSS\levels\global\1.html, HTML, 0, 0, 0, 34, 0, 0, 2, 36
d:\Dev\Projects\Web\CSS\levels\global\1.json, JSON, 0, 0, 0, 0, 3, 0, 1, 4
d:\Dev\Projects\Web\CSS\levels\global\1h.css, CSS, 0, 0, 44, 0, 0, 0, 8, 52
d:\Dev\Projects\Web\CSS\levels\global\1h.html, HTML, 0, 0, 0, 6, 0, 0, 1, 7
d:\Dev\Projects\Web\CSS\levels\global\global.json, JSON, 0, 0, 0, 0, 2, 0, 3, 5
d:\Dev\Projects\Web\CSS\levels\global\uncensored\0.html, HTML, 0, 0, 0, 34, 0, 0, 2, 36
d:\Dev\Projects\Web\CSS\levels\junior\0.css, CSS, 0, 0, 52, 0, 0, 0, 10, 62
d:\Dev\Projects\Web\CSS\levels\junior\0.html, HTML, 0, 0, 0, 15, 0, 0, 8, 23
d:\Dev\Projects\Web\CSS\levels\normal\0.css, CSS, 0, 0, 52, 0, 0, 0, 10, 62
d:\Dev\Projects\Web\CSS\levels\normal\0.html, HTML, 0, 0, 0, 15, 0, 0, 8, 23
d:\Dev\Projects\Web\CSS\levels\pro\0.css, CSS, 0, 0, 56, 0, 0, 0, 11, 67
d:\Dev\Projects\Web\CSS\levels\pro\0.html, HTML, 0, 0, 0, 15, 0, 0, 8, 23
d:\Dev\Projects\Web\CSS\levels\selector\0.css, CSS, 0, 0, 52, 0, 0, 0, 10, 62
d:\Dev\Projects\Web\CSS\levels\selector\0.html, HTML, 0, 0, 0, 15, 0, 0, 8, 23
d:\Dev\Projects\Web\CSS\levels\selector\1.css, CSS, 0, 0, 81, 0, 0, 0, 14, 95
d:\Dev\Projects\Web\CSS\levels\selector\1.html, HTML, 0, 0, 0, 34, 0, 0, 2, 36
d:\Dev\Projects\Web\CSS\levels\selector\2.css, CSS, 0, 0, 712, 0, 0, 234, 8, 954
d:\Dev\Projects\Web\CSS\main.css, CSS, 0, 0, 132, 0, 0, 1, 29, 162
d:\Dev\Projects\Web\CSS\main.js, JavaScript, 0, 139, 0, 0, 0, 7, 16, 162
d:\Dev\Projects\Web\CSS\menu.css, CSS, 0, 0, 300, 0, 0, 0, 52, 352
d:\Dev\Projects\Web\CSS\menu.js, JavaScript, 0, 105, 0, 0, 0, 1, 17, 123
d:\Dev\Projects\Web\CSS\resultsMenu.css, CSS, 0, 0, 56, 0, 0, 0, 17, 73
d:\Dev\Projects\Web\CSS\review.js, JavaScript, 0, 79, 0, 0, 0, 0, 23, 102
d:\Dev\Projects\Web\CSS\slider.css, CSS, 0, 0, 118, 0, 0, 0, 17, 135
d:\Dev\Projects\Web\CSS\slider.js, JavaScript, 0, 118, 0, 0, 0, 1, 8, 127
d:\Dev\Projects\Web\CSS\style.css, CSS, 0, 0, 147, 0, 0, 0, 21, 168
d:\Dev\Projects\Web\CSS\test.html, HTML, 0, 0, 0, 2444, 0, 0, 9, 2453
Total, -, 67, 932, 2051, 2899, 8, 252, 510, 6719